Configuration,ARI,NMI,ACC,n_clusters
trial_22_robust_C,0.4916901846823529,0.625176556140838,0.604690935743953,5
trial_22_robust_D,0.5678053415095454,0.7009093878212052,0.6992426093330075,5
trial_23_mclust_A,0.12119043501105908,0.26867826584941373,0.4578548741754215,4
trial_23_mclust_B,0.580752259032745,0.5922893716656376,0.7007085267529929,4
trial_23_robust_C,0.5529634920242256,0.6541912147696346,0.7207427314927926,5
trial_23_robust_D,0.5535869495784456,0.6807333059375571,0.69899828976301,5
trial_24_mclust_A,0.2930531868216109,0.33102944617876273,0.5768385047642316,4
trial_24_mclust_B,0.3832045200360815,0.49615169740020987,0.5863669679941363,5
trial_24_robust_C,0.5433290098177874,0.6076881091207076,0.7200097727827999,5
trial_24_robust_D,0.488561282150021,0.6520794667754026,0.679208404593208,5
trial_25_mclust_A,0.18004936899055504,0.3014441223275221,0.5228438797947715,4
trial_25_mclust_B,0.4671671245811429,0.5256459374796906,0.6569753237234303,5
trial_25_robust_C,0.5370374249670344,0.608861084305849,0.7290495968727095,5
trial_25_robust_D,0.49437512031486774,0.648149812061228,0.6811629611531884,5
trial_26_mclust_A,0.1120337100966624,0.24596244564187156,0.43806498900561935,5
trial_26_mclust_B,0.5390542501104795,0.5476130538749081,0.6845834351331541,5
trial_26_robust_C,0.4875621385561265,0.5897171923831878,0.6237478622037625,5
trial_26_robust_D,0.4930897670254572,0.6502710722694139,0.6704129000732959,5
trial_27_mclust_A,0.45725721079161724,0.475676181843489,0.6591741998534083,5
trial_27_mclust_B,0.5271673605879361,0.5775663815404349,0.6757879306132422,5
trial_27_robust_C,0.5488772996167189,0.6413230544206004,0.7185438553628145,5
trial_27_robust_D,0.511821840674282,0.6687230018949089,0.6706572196432934,5
trial_28_mclust_A,0.12172164437259075,0.2766864343892003,0.46396286342536036,5
trial_28_mclust_B,0.14768976757366842,0.27635571397414266,0.4864402638651356,4
trial_28_robust_C,0.4130482389646498,0.5656733973395494,0.5836794527241632,5
trial_28_robust_D,0.5088328123905485,0.6682986102178317,0.6706572196432934,5
trial_29_mclust_A,0.1424174995902097,0.2369793520339479,0.4893720987051063,5
trial_29_mclust_B,0.5325088764039192,0.5491901442001725,0.6804300024431957,5
trial_29_robust_C,0.5167766860190061,0.5906099362844894,0.7011971658929881,5
trial_29_robust_D,0.49033582201775217,0.6439724683596545,0.6801856828731981,5
trial_2_mclust_A,0.1282631943399085,0.26123300193618476,0.45907647202540924,5
trial_2_mclust_B,0.5844731139137932,0.5800287489831254,0.6928903005130711,5
trial_2_robust_C,0.5430765675378203,0.6248682789027298,0.7139017835328609,5
trial_2_robust_D,0.5220020908160062,0.6711183186038148,0.6855607134131444,5
trial_30_mclust_A,0.15213458045661604,0.2769913952842105,0.5030539946249695,5
trial_30_mclust_B,0.5307375413468503,0.5811772481670529,0.6801856828731981,5
trial_30_robust_C,0.5424673535460205,0.6314770566309493,0.7136574639628634,5
trial_30_robust_D,0.5069818651916511,0.6643161007645284,0.6814072807231859,5
trial_31_mclust_A,0.11643765389053959,0.26346542984653265,0.44099682384559,5
trial_31_mclust_B,0.553918144942824,0.5643778591972399,0.6887368678231126,5
trial_31_robust_C,0.39446376354260837,0.5471251560226336,0.5719521133642804,5
trial_31_robust_D,0.525994272790182,0.6666766916163266,0.6855607134131444,5
trial_32_mclust_A,0.13365430821472404,0.2383305724342024,0.47691180063523086,5
trial_32_mclust_B,0.49445068773213124,0.5449404150013273,0.6616173955533838,5
trial_32_robust_C,0.5414723568385181,0.5988198080802858,0.729293916442707,5
trial_32_robust_D,0.5146283412943491,0.6616743679001851,0.6789640850232104,5
trial_33_mclust_A,0.49694471118820205,0.5506318827344475,0.6669924260933301,4
trial_33_mclust_B,0.5024041758574702,0.5643468076917411,0.662594673833374,5
trial_33_robust_C,0.47582618894136863,0.6151008720017371,0.5963840703640362,5
trial_33_robust_D,0.544615197145049,0.6767536610339369,0.6877595895431224,5
trial_34_mclust_A,0.306379623396772,0.4207839639910001,0.6037136574639629,4
trial_34_mclust_B,0.523136802400247,0.5687239504745208,0.6755436110432446,5
trial_34_robust_C,0.41945405305068845,0.5553310776353357,0.6032250183239678,5
trial_34_robust_D,0.5161260061556677,0.6711705887344527,0.6755436110432446,5
trial_35_mclust_A,0.477737631779219,0.5056969832650113,0.6687026630833129,4
trial_35_mclust_B,0.49262587711125483,0.5590968189236833,0.6618617151233814,4
trial_35_robust_C,0.4471752050532534,0.600926596954579,0.5973613486440263,5
trial_35_robust_D,0.5446394921418968,0.6812783943730242,0.6916687026630833,5
trial_36_mclust_A,0.12381353945843852,0.263306207492081,0.4519912044954801,5
trial_36_mclust_B,0.5621483106440726,0.5723557068575648,0.6884925482531151,5
trial_36_robust_C,0.4881487307949509,0.6037194298026236,0.6562423650134376,5
trial_36_robust_D,0.520607868712575,0.6733503651394529,0.6660151478133398,5
trial_37_mclust_A,0.43187781462669766,0.43050877175739843,0.6430491082335695,5
trial_37_mclust_B,0.5435996370595961,0.5604011444520991,0.684094795993159,5
trial_37_robust_C,0.30028369885451067,0.5231697337214083,0.5096506230149035,5
trial_37_robust_D,0.5134235994720486,0.6651109531382108,0.6704129000732959,5
trial_38_mclust_A,0.31095417179140444,0.35870389177656,0.5861226484241387,4
trial_38_mclust_B,0.47493095883308634,0.5562125162483635,0.6423161495235769,5
trial_38_robust_C,0.5331929829853771,0.623955676159908,0.7112142682628878,5
trial_38_robust_D,0.5240216596817204,0.6786350407797916,0.6767652088932323,5
trial_39_mclust_A,0.37908507432996413,0.4217920481009343,0.6259467383337405,5
trial_39_mclust_B,0.4572469029762548,0.5155699431366944,0.6523332518934767,5
