Trial,Alpha,K_Graph,LambdaRecon,NegHard,NegAdj,Method,Config,ARI,NMI,ACC
20,0.2,8,0.05,0.7,0.4,robust,robust_D,0.5679305936650116,0.701596760833411,0.6921573418030784
21,0.3,6,0.05,0.7,0.5,mclust,mclust_A,0.42721748836750434,0.4273540888182613,0.6454923039335451
21,0.3,6,0.05,0.7,0.5,mclust,mclust_B,0.5786861618085897,0.5969004687433141,0.6948448570730515
21,0.3,6,0.05,0.7,0.5,robust,robust_C,0.49880976447836545,0.6171719870768378,0.6195944295138041
21,0.3,6,0.05,0.7,0.5,robust,robust_D,0.5108596942732038,0.6548156718873616,0.6638162716833619
22,0.35,8,0.0,0.8,0.3,mclust,mclust_A,0.4729484419050553,0.5067608234762114,0.6596628389934034
22,0.35,8,0.0,0.8,0.3,mclust,mclust_B,0.6059944419921185,0.6142889248667803,0.7107256291228927
22,0.35,8,0.0,0.8,0.3,robust,robust_C,0.46141209386234966,0.6026369779509395,0.5929635963840704
22,0.35,8,0.0,0.8,0.3,robust,robust_D,0.5533654252086261,0.6861269503892939,0.6899584656731004
23,0.2,4,0.05,0.7,0.4,mclust,mclust_A,0.3843023816144138,0.4177930941438407,0.6205717077937943
23,0.2,4,0.05,0.7,0.4,mclust,mclust_B,0.4755035775396391,0.5243784881555011,0.6594185194234058
23,0.2,4,0.05,0.7,0.4,robust,robust_C,0.2816566055463806,0.5119455560258555,0.4434400195455656
23,0.2,4,0.05,0.7,0.4,robust,robust_D,0.5093498852945356,0.6590043575837211,0.6669924260933301
24,0.4,8,0.01,0.7,0.5,mclust,mclust_A,0.151457731609875,0.28357714330818945,0.5118494991448815
24,0.4,8,0.01,0.7,0.5,mclust,mclust_B,0.5445260194638741,0.586514995388066,0.6826288785731737
24,0.4,8,0.01,0.7,0.5,robust,robust_C,0.37903333261564004,0.5406551139009254,0.5482531150745175
24,0.4,8,0.01,0.7,0.5,robust,robust_D,0.5566835763123467,0.6904543746970127,0.6992426093330075
25,0.35,4,0.0,0.7,0.5,mclust,mclust_A,0.22275641199815266,0.3389750251802842,0.5531395064744686
25,0.35,4,0.0,0.7,0.5,mclust,mclust_B,0.47246943914349776,0.5135190965948234,0.6520889323234791
25,0.35,4,0.0,0.7,0.5,robust,robust_C,0.4414320865088081,0.5663399218838093,0.599804544344002
25,0.35,4,0.0,0.7,0.5,robust,robust_D,0.5448724057644121,0.6718149679258509,0.7016858050329832
26,0.4,6,0.05,0.85,0.5,mclust,mclust_A,0.11175556957376179,0.26176038755909936,0.44539457610554606
26,0.4,6,0.05,0.85,0.5,mclust,mclust_B,0.4005120608036878,0.5191115274377566,0.6195944295138041
26,0.4,6,0.05,0.85,0.5,robust,robust_C,0.42334937946766726,0.5443346207389111,0.610798924993892
26,0.4,6,0.05,0.85,0.5,robust,robust_D,0.5133707337942618,0.6649781449401403,0.6845834351331541
27,0.4,6,0.0,0.85,0.4,mclust,mclust_A,0.31025478746265445,0.4020050813132742,0.5995602247740044
27,0.4,6,0.0,0.85,0.4,mclust,mclust_B,0.12187611504396764,0.35756206723813416,0.4942584901050574
27,0.4,6,0.0,0.85,0.4,robust,robust_C,0.36801572398433374,0.5615387033226676,0.5592474957244076
27,0.4,6,0.0,0.85,0.4,robust,robust_D,0.5319121638962487,0.6756427864400136,0.6977766919130223
28,0.2,6,0.01,0.8,0.5,mclust,mclust_A,0.12515206039381638,0.26092540576275886,0.4632299047153677
28,0.2,6,0.01,0.8,0.5,mclust,mclust_B,0.4859446925330367,0.5392231022598302,0.6542878084534571
28,0.2,6,0.01,0.8,0.5,robust,robust_C,0.46158026520378065,0.5784229503921586,0.6015147813339848
28,0.2,6,0.01,0.8,0.5,robust,robust_D,0.5419053480692123,0.6807741954527494,0.6975323723430247
29,0.3,4,0.01,0.7,0.5,mclust,mclust_A,0.1346723194754092,0.2312382178174972,0.4808209137551918
29,0.3,4,0.01,0.7,0.5,mclust,mclust_B,0.42876221818805393,0.48818150808224176,0.623503542633765
29,0.3,4,0.01,0.7,0.5,robust,robust_C,0.3892466384823791,0.5479348946252144,0.5704861959442952
29,0.3,4,0.01,0.7,0.5,robust,robust_D,0.49947502587315795,0.6554683696044665,0.6713901783532861
30,0.4,8,0.0,0.7,0.5,mclust,mclust_A,0.4134878168210202,0.47038707985957234,0.636696799413633
30,0.4,8,0.0,0.7,0.5,mclust,mclust_B,0.5344026850720535,0.5790046740921649,0.6814072807231859
30,0.4,8,0.0,0.7,0.5,robust,robust_C,0.5758245013540089,0.6782538795987486,0.7317371121426827
30,0.4,8,0.0,0.7,0.5,robust,robust_D,0.5408900736944973,0.6828502142018882,0.6865379916931347
31,0.4,8,0.0,0.85,0.3,mclust,mclust_A,0.32525954693862125,0.3781577290898093,0.5976056682140239
