ARI	NMI	tag	dim	alpha	lr	k	topN	lambda_recon	mask_ratio	epochs	pca_dim	refine_k	npz	metrics
0.5125849595140378	0.648094325575314	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	12	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p12_rk3.mclust.metrics.txt
0.6006980465263537	0.7282292980157762	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	14	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p14_rk0.mclust.metrics.txt
0.5310902262136712	0.6584338387290455	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	14	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p14_rk3.mclust.metrics.txt
0.5894633478498984	0.7221327976439708	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	16	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p16_rk0.mclust.metrics.txt
0.508497096836324	0.64821675794361	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	16	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p16_rk3.mclust.metrics.txt
0.6025674294475757	0.7246304865360549	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	20	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p20_rk0.mclust.metrics.txt
0.5182306330406603	0.6493270613216922	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	20	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p20_rk3.mclust.metrics.txt
0.6008300840317283	0.718436485308189	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	24	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p24_rk0.mclust.metrics.txt
0.519052472846711	0.6523807438577477	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	24	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p24_rk3.mclust.metrics.txt
0.5329824825998462	0.6893780045200069	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	28	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p28_rk0.mclust.metrics.txt
0.4577100318054267	0.6167452443341516	d80_a055_lr001_k12_top36_l016_m010_e500	80	0.55	0.0010	12	36	0.16	0.10	500	28	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d80_a055_lr001_k12_top36_l016_m010_e500.augK2_d80_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d80_a055_lr001_k12_top36_l016_m010_e500_mclust_p28_rk3.mclust.metrics.txt
0.42477982470276276	0.6205810328488466	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	8	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p8_rk0.mclust.metrics.txt
0.4254149438998642	0.6112163842099723	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	8	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p8_rk3.mclust.metrics.txt
0.4014436594649693	0.5999855765971545	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	10	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p10_rk0.mclust.metrics.txt
0.38566069894222554	0.5779842273359854	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	10	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p10_rk3.mclust.metrics.txt
0.4692633863364628	0.6624205275421591	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	12	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p12_rk0.mclust.metrics.txt
0.4448691108983465	0.6314944412235876	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	12	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p12_rk3.mclust.metrics.txt
0.5112274732168067	0.6758364126499669	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	14	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p14_rk0.mclust.metrics.txt
0.47229835607152654	0.638208007873837	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	14	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p14_rk3.mclust.metrics.txt
0.5590612280527639	0.6898169869272041	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	16	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p16_rk0.mclust.metrics.txt
0.5001169907817122	0.6419633661734981	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	16	3	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p16_rk3.mclust.metrics.txt
0.6006042507226497	0.7232420996045454	d96_a050_lr001_k12_top36_l016_m010_e500	96	0.50	0.0010	12	36	0.16	0.10	500	20	0	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/d96_a050_lr001_k12_top36_l016_m010_e500.augK2_d96_for_cluster.npz	/root/autodl-tmp/coronal mouse brain/TrainCluster_Search/cluster/cluster_results/d96_a050_lr001_k12_top36_l016_m010_e500_mclust_p20_rk0.mclust.metrics.txt
