npz	pca_dim	seed	score	upper_cluster	upper_purity	upper_recall	lower_cluster	lower_purity	lower_recall	both_cluster	both_purity	both_recall
S2_Hpca_pub_v1.augK2_d128_for_cluster.npz	64	2	0.35755439118493865	17	0.1552511415525114	0.7727272727272727	17	0.2602739726027397	0.7307692307692307	17	0.4155251141552511	0.7459016393442623
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	10	0.3559677714304441	2	0.10191082802547771	0.7272727272727273	13	0.2157676348547718	0.6666666666666666	13	0.2157676348547718	0.4262295081967213
S2_Hpca_v2.augK2_d96_for_cluster.npz	50	7	0.35236606789469455	25	0.127208480565371	0.8181818181818182	25	0.2049469964664311	0.7435897435897436	25	0.3321554770318021	0.7704918032786885
S2_Hpca_v2.augK2_d96_for_cluster.npz	50	14	0.3514647083962285	0	0.12286689419795221	0.8181818181818182	0	0.1945392491467577	0.7307692307692307	0	0.3174061433447099	0.7622950819672131
S2_Hpca_v2.augK2_d96_for_cluster.npz	64	10	0.3501000064778962	17	1.0	0.022727272727272728	0	0.10256410256410256	0.7692307692307693	0	0.15897435897435896	0.7622950819672131
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	4	0.3480580088531606	20	0.10891089108910891	0.75	13	0.19583333333333333	0.6025641025641025	20	0.18151815181518152	0.45081967213114754
S2_Hpca_v2.augK2_d96_for_cluster.npz	24	0	0.3466653239530153	10	0.11	0.75	17	0.19166666666666668	0.5897435897435898	10	0.18666666666666668	0.45901639344262296
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	4	0.3431318697676764	23	0.18421052631578946	0.6363636363636364	23	0.2631578947368421	0.5128205128205128	23	0.4473684210526316	0.5573770491803278
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	1	0.3420481939033958	20	0.1830065359477124	0.6363636363636364	20	0.26143790849673204	0.5128205128205128	20	0.4444444444444444	0.5573770491803278
S2_Hpca_v2.augK2_d96_for_cluster.npz	18	19	0.3409759973713412	11	0.18181818181818182	0.6363636363636364	11	0.2597402597402597	0.5128205128205128	11	0.44155844155844154	0.5573770491803278
